Source,Site,EventCount,LabelCardinality,MeanDuration,MedianDuration,MeanVolume,TotalVolume,MeanFlowRate
original,2,23417,7,0.5853895320944613,0.066666667,3.5791531121834566,83813.028428,0.45337782711201263
original,3,388545,6,0.12832404686339033,0.066666667,0.09731580445765613,37811.569243,0.16557046439489634
original,4,6909,5,0.9522072659214068,0.333333333,2.5815167005355337,17835.698884,0.9582580118467218
original,5,29058,5,0.9977906259758758,0.066666667,9.85640853850919,286407.519312,0.6724933094937022
original,6,2576,5,1.0315476190850155,0.333333333,2.489886133540373,6413.94668,0.8538900742181678
original,7,9594,5,0.7728580363856576,0.2,1.533572850114655,14713.097924,1.24361238362414
original,8,5559,5,0.5956227140115128,0.133333333,1.9852151509264258,11035.811024,1.5650963323441267
original,9,137550,5,0.20530522259875683,0.066666667,0.3205939598982188,44097.699184,0.5445896987733843
original,10,12291,5,0.31126298397111707,0.066666667,0.5220989960133431,6417.11876,0.7032109719676186
original,11,20733,6,0.37769417531061594,0.066666667,1.015429662856316,21052.9032,0.9062839842790238
original,12,7611,5,0.3639118820254894,0.066666667,0.9052114350282485,6889.564232,0.8696680957663907
original,13,47524,6,0.33209606403795977,0.066666667,0.7808862359229021,37110.837476,0.5826462611167621
original,14,4085,6,2.289710322422032,0.266666667,21.678328842105266,88555.97332,1.0403523365701346
original,15,10625,6,0.366431372730447,0.066666667,0.6470611184941176,6875.024384,0.8178841184211765
original,16,7091,5,1.745442579846425,0.133333333,1.943605142857143,13782.104068,0.6033065622168947
original,17,10812,5,0.48647798759064004,0.066666667,0.7882386604698483,8522.436397,0.6012235714371069
original,18,5808,6,0.979671717421832,0.066666667,2.5000833138774103,14520.483887,0.25337033677427684
original,19,18679,6,1.2783625104841443,0.2,7.348873978050217,137269.617036,1.2883927913879394
original,20,5852,6,0.6465595809530075,0.066666667,3.3194352867395764,19425.335298,1.1174248491628502
original,21,11968,6,0.5926860518355614,0.2,1.143983483873663,13691.194335,0.9815488698091578
original,22,7399,6,0.8667928099057981,0.266666667,1.7988419168806598,13309.631343000001,1.3568154130350047
original,23,4794,6,1.0777221529075929,0.066666667,5.322457187734668,25515.859758,0.839227093364831
original,24,11613,6,0.9469272943019892,0.066666667,4.312377789718419,50079.643272,1.0225096404106604
original,25,9355,6,1.073522180717691,0.133333333,7.512863461250668,70282.83768,1.2502047757655799
original,26,24933,6,0.5027286463417158,0.066666667,1.6778042443749248,41832.693225,0.5465193685707296
original,27,9806,7,1.3683459107148683,0.266666667,7.985529425861718,78306.10155,1.0138992166235978
original,28,4884,6,1.5334425334850532,0.2,9.725126386977887,47497.517274,1.5052354414332514
original,29,16169,6,0.28099037280134825,0.066666667,1.1809561777475417,19094.880438,0.7766691062340281
original,30,7076,6,1.2322781233008762,0.2,4.2369859460146975,29980.912554,1.1520134784571792
original,31,5146,8,0.9490996243036662,0.2666666666666666,4.74369936883016,24411.076952,2.1419333291054885
original,32,3891,6,0.6442559753464405,0.2,4.117944737342586,16022.922973,1.4323000723497816
processed,2,23417,7,0.5853895320944613,0.066666667,3.5791531121834566,83813.028428,0.45337782711201263
processed,3,388545,7,0.12832404686339033,0.066666667,0.09731580445765613,37811.569243,0.16557046439489634
processed,4,6909,6,0.9522072659214068,0.333333333,2.5815167005355337,17835.698884,0.9582580118467218
processed,5,29058,6,0.9977906259758758,0.066666667,9.85640853850919,286407.519312,0.6724933094937022
processed,6,2576,6,1.0315476190850155,0.333333333,2.489886133540373,6413.94668,0.8538900742181678
processed,7,9594,6,0.7728580363856576,0.2,1.533572850114655,14713.097924,1.24361238362414
processed,8,5559,6,0.5956227140115128,0.133333333,1.9852151509264258,11035.811024,1.5650963323441267
processed,9,137550,6,0.20530522259875683,0.066666667,0.3205939598982188,44097.699184,0.5445896987733843
processed,10,12291,6,0.31126298397111707,0.066666667,0.5220989960133431,6417.11876,0.7032109719676186
processed,11,20733,7,0.37769417531061594,0.066666667,1.015429662856316,21052.9032,0.9062839842790238
processed,12,7611,6,0.3639118820254894,0.066666667,0.9052114350282485,6889.564232,0.8696680957663907
processed,13,47524,7,0.33209606403795977,0.066666667,0.7808862359229021,37110.837476,0.5826462611167621
processed,14,4085,7,2.289710322422032,0.266666667,21.678328842105266,88555.97332,1.0403523365701346
processed,15,10625,7,0.366431372730447,0.066666667,0.6470611184941176,6875.024384,0.8178841184211765
processed,16,7091,6,1.745442579846425,0.133333333,1.943605142857143,13782.104068,0.6033065622168947
processed,17,10812,6,0.48647798759064004,0.066666667,0.7882386604698483,8522.436397,0.6012235714371069
processed,18,5808,7,0.979671717421832,0.066666667,2.5000833138774103,14520.483887,0.25337033677427684
processed,19,18679,7,1.2783625104841443,0.2,7.348873978050217,137269.617036,1.2883927913879394
processed,20,5852,7,0.6465595809530075,0.066666667,3.3194352867395764,19425.335298,1.1174248491628502
processed,21,11968,7,0.5926860518355614,0.2,1.143983483873663,13691.194335,0.9815488698091578
processed,22,7399,7,0.8667928099057981,0.266666667,1.7988419168806598,13309.631343000001,1.3568154130350047
processed,23,4794,7,1.0777221529075929,0.066666667,5.322457187734668,25515.859758,0.839227093364831
processed,24,11613,7,0.9469272943019892,0.066666667,4.312377789718419,50079.643272,1.0225096404106604
processed,25,9355,7,1.073522180717691,0.133333333,7.512863461250668,70282.83768,1.2502047757655799
processed,26,24933,7,0.5027286463417158,0.066666667,1.6778042443749248,41832.693225,0.5465193685707296
processed,27,9806,8,1.3683459107148683,0.266666667,7.985529425861718,78306.10155,1.0138992166235978
processed,28,4884,7,1.5334425334850532,0.2,9.725126386977887,47497.517274,1.5052354414332514
processed,29,16169,7,0.28099037280134825,0.066666667,1.1809561777475417,19094.880438,0.7766691062340281
processed,30,7076,7,1.2322781233008762,0.2,4.2369859460146975,29980.912554,1.1520134784571792
processed,31,5146,8,0.9490996243036662,0.2666666666666666,4.74369936883016,24411.076952,2.1419333291054885
processed,32,3891,7,0.6442559753464405,0.2,4.117944737342586,16022.922973,1.4323000723497816
